name,type,start_time,duration,mosi,miso,data
Async Serial,data,0.001537313,0.00001025,,,1
SPI,result,0.001547375,0.000001688,1,ÿ,
Async Serial,data,0.001548125,0.00001025,,,0
SPI,result,0.00155825,0.000001688,0,ÿ,
Async Serial,data,0.001558937,0.00001025,,,1
SPI,result,0.001569062,0.000001688,1,ÿ,
Async Serial,data,0.00156975,0.00001025,,,2
SPI,result,0.001579875,0.000001625,2,ÿ,
Async Serial,data,0.001580625,0.00001025,,,3
SPI,result,0.00159075,0.000001688,3,ÿ,
Async Serial,data,0.001591438,0.00001025,,,4
SPI,result,0.001601563,0.000001625,4,ÿ,
Async Serial,data,0.00160225,0.00001025,,,5
SPI,result,0.001612312,0.000001688,5,ÿ,
Async Serial,data,0.001613062,0.00001025,,,6
SPI,result,0.00162325,0.000001625,6,ÿ,
Async Serial,data,0.001623938,0.00001025,,,7
SPI,result,0.001634,0.000001688,7,ÿ,
Async Serial,data,0.00163475,0.00001025,,,8
SPI,result,0.001644813,0.000001688,8,ÿ,
Async Serial,data,0.001645562,0.00001025,,,9
SPI,result,0.001655688,0.000001687,9,ÿ,
Async Serial,data,0.001656437,0.00001025,,,1
SPI,result,0.0016665,0.000001688,1,ÿ,
Async Serial,data,0.00166725,0.00001025,,,0
SPI,result,0.001677312,0.000001625,0,ÿ,
Async Serial,data,0.001678062,0.00001025,,,1
SPI,result,0.001688187,0.000001688,1,ÿ,
Async Serial,data,0.001688875,0.00001025,,,2
SPI,result,0.001699,0.000001625,2,ÿ,
Async Serial,data,0.00169975,0.00001025,,,3
SPI,result,0.001709875,0.000001688,3,ÿ,
Async Serial,data,0.001710563,0.00001025,,,4
SPI,result,0.001720688,0.000001625,4,ÿ,
Async Serial,data,0.001721375,0.00001025,,,5
SPI,result,0.001731437,0.000001688,5,ÿ,
Async Serial,data,0.001732187,0.00001025,,,6
SPI,result,0.001742375,0.000001625,6,ÿ,
Async Serial,data,0.001743,0.00001025,,,7
SPI,result,0.001753125,0.000001688,7,ÿ,
Async Serial,data,0.001753875,0.00001025,,,8
SPI,result,0.001763938,0.000001688,8,ÿ,
Async Serial,data,0.001764625,0.00001025,,,9
SPI,result,0.00177475,0.000001625,9,ÿ,
Async Serial,data,0.0017755,0.00001025,,,1
SPI,result,0.001785625,0.000001688,1,ÿ,
Async Serial,data,0.001786313,0.00001025,,,0
SPI,result,0.001796437,0.000001625,0,ÿ,
Async Serial,data,0.001797125,0.00001025,,,1
SPI,result,0.001807188,0.000001688,1,ÿ,
Async Serial,data,0.001807937,0.00001025,,,2
SPI,result,0.001818125,0.000001625,2,ÿ,
Async Serial,data,0.00181875,0.00001025,,,3
SPI,result,0.001828875,0.000001688,3,ÿ,
Async Serial,data,0.001829563,0.00001025,,,4
SPI,result,0.001839687,0.000001625,4,ÿ,
Async Serial,data,0.001840375,0.00001025,,,5
SPI,result,0.001850437,0.000001688,5,ÿ,
Async Serial,data,0.00185125,0.00001025,,,6
SPI,result,0.001861375,0.000001625,6,ÿ,
Async Serial,data,0.001862062,0.00001025,,,7
SPI,result,0.001872125,0.000001688,7,ÿ,
Async Serial,data,0.001872875,0.00001025,,,8
SPI,result,0.001882937,0.000001688,8,ÿ,
Async Serial,data,0.001883688,0.00001025,,,9
SPI,result,0.00189375,0.000001625,9,ÿ,
Async Serial,data,0.0018945,0.00001025,,,1
SPI,result,0.001904625,0.000001688,1,ÿ,
Async Serial,data,0.001905312,0.00001025,,,0
SPI,result,0.001915438,0.000001625,0,ÿ,
Async Serial,data,0.001916125,0.00001025,,,1
SPI,result,0.001926188,0.000001687,1,ÿ,
Async Serial,data,0.001926938,0.00001025,,,2
SPI,result,0.001937,0.000001625,2,ÿ,
Async Serial,data,0.00193775,0.00001025,,,3
SPI,result,0.001947875,0.000001688,3,ÿ,
Async Serial,data,0.001948562,0.00001025,,,4
SPI,result,0.001958688,0.000001625,4,ÿ,
Async Serial,data,0.001959375,0.00001025,,,5
SPI,result,0.001969438,0.000001687,5,ÿ,
Async Serial,data,0.001970188,0.00001025,,,6
SPI,result,0.00198025,0.000001688,6,ÿ,
Async Serial,data,0.001981,0.00001025,,,7
SPI,result,0.001991063,0.000001625,7,ÿ,
Async Serial,data,0.00199175,0.00001025,,,8
SPI,result,0.002001812,0.000001688,8,ÿ,
Async Serial,data,0.002002625,0.00001025,,,9
SPI,result,0.00201275,0.000001625,9,ÿ,
Async Serial,data,0.002013375,0.00001025,,,1
SPI,result,0.0020235,0.000001687,1,ÿ,
Async Serial,data,0.002024187,0.00001025,,,0
SPI,result,0.002034312,0.000001688,0,ÿ,
Async Serial,data,0.002035,0.00001025,,,1
SPI,result,0.002045125,0.000001625,1,ÿ,
Async Serial,data,0.002045812,0.00001025,,,2
SPI,result,0.002055875,0.000001688,2,ÿ,
Async Serial,data,0.002056625,0.00001025,,,3
SPI,result,0.002066812,0.000001625,3,ÿ,
Async Serial,data,0.002067437,0.00001025,,,4
SPI,result,0.002077562,0.000001688,4,ÿ,
Async Serial,data,0.00207825,0.00001025,,,5
SPI,result,0.002088375,0.000001625,5,ÿ,
Async Serial,data,0.002089062,0.00001025,,,6
SPI,result,0.002099125,0.000001688,6,ÿ,
Async Serial,data,0.002099875,0.00001025,,,7
SPI,result,0.002109938,0.000001688,7,ÿ,
Async Serial,data,0.002110688,0.00001025,,,8
SPI,result,0.00212075,0.000001688,8,ÿ,
Async Serial,data,0.0021215,0.00001025,,,9
SPI,result,0.002131562,0.000001625,9,ÿ,
Async Serial,data,0.00213225,0.00001025,,,1
SPI,result,0.002142437,0.000001688,1,ÿ,
Async Serial,data,0.002143063,0.00001025,,,0
SPI,result,0.00215325,0.000001625,0,ÿ,
Async Serial,data,0.002153875,0.00001025,,,1
SPI,result,0.002164,0.000001687,1,ÿ,
Async Serial,data,0.002164687,0.00001025,,,2
SPI,result,0.002174813,0.000001687,2,ÿ,
Async Serial,data,0.0021755,0.00001025,,,3
SPI,result,0.002185625,0.000001625,3,ÿ,
Async Serial,data,0.002186313,0.00001025,,,4
SPI,result,0.002196375,0.000001688,4,ÿ,
Async Serial,data,0.002197125,0.00001025,,,5
SPI,result,0.002207313,0.000001625,5,ÿ,
Async Serial,data,0.002207937,0.00001025,,,6
SPI,result,0.002218063,0.000001687,6,ÿ,
Async Serial,data,0.00221875,0.00001025,,,7
SPI,result,0.002228875,0.000001688,7,ÿ,
Async Serial,data,0.002229563,0.00001025,,,8
SPI,result,0.002239688,0.000001625,8,ÿ,
Async Serial,data,0.002240375,0.00001025,,,9
SPI,result,0.002250437,0.000001688,9,ÿ,
Async Serial,data,0.002251187,0.00001025,,,1
SPI,result,0.002261375,0.000001625,1,ÿ,
Async Serial,data,0.002262,0.00001025,,,0
SPI,result,0.002272125,0.000001688,0,ÿ,
Async Serial,data,0.002272813,0.00001025,,,1
SPI,result,0.002282937,0.000001688,1,ÿ,
Async Serial,data,0.002283688,0.00001025,,,2
SPI,result,0.00229375,0.000001625,2,ÿ,
Async Serial,data,0.002294437,0.00001025,,,3
SPI,result,0.0023045,0.000001688,3,ÿ,
Async Serial,data,0.00230525,0.00001025,,,4
SPI,result,0.002315437,0.000001688,4,ÿ,
Async Serial,data,0.002316063,0.00001025,,,5
SPI,result,0.00232625,0.000001625,5,ÿ,
Async Serial,data,0.002326875,0.00001025,,,6
SPI,result,0.002337,0.000001688,6,ÿ,
Async Serial,data,0.00233775,0.00001025,,,7
SPI,result,0.002347812,0.000001688,7,ÿ,
Async Serial,data,0.0023485,0.00001025,,,8
SPI,result,0.002358625,0.000001625,8,ÿ,
Async Serial,data,0.002359313,0.00001025,,,9
SPI,result,0.002369375,0.000001687,9,ÿ,
Async Serial,data,0.002370125,0.00001025,,,1
SPI,result,0.002380313,0.000001625,1,ÿ,
Async Serial,data,0.002380937,0.00001025,,,0
SPI,result,0.002391062,0.000001688,0,ÿ,
Async Serial,data,0.002391812,0.00001025,,,1
SPI,result,0.002401875,0.000001688,1,ÿ,
Async Serial,data,0.002402563,0.00001025,,,2
SPI,result,0.002412688,0.000001687,2,ÿ,
Async Serial,data,0.002413375,0.00001025,,,3
SPI,result,0.0024235,0.000001625,3,ÿ,
Async Serial,data,0.002424188,0.00001025,,,4
SPI,result,0.002434375,0.000001688,4,ÿ,
Async Serial,data,0.002435,0.00001025,,,5
SPI,result,0.002445187,0.000001625,5,ÿ,
Async Serial,data,0.002445875,0.00001025,,,6
SPI,result,0.002455938,0.000001687,6,ÿ,
Async Serial,data,0.002456625,0.00001025,,,7
SPI,result,0.00246675,0.000001688,7,ÿ,
Async Serial,data,0.0024675,0.00001025,,,8
SPI,result,0.002477562,0.000001625,8,ÿ,
Async Serial,data,0.002478312,0.00001025,,,9
SPI,result,0.002488437,0.000001688,9,ÿ,
Async Serial,data,0.002489063,0.00001025,,,1
SPI,result,0.00249925,0.000001625,1,ÿ,
Async Serial,data,0.002499938,0.00001025,,,0
SPI,result,0.00251,0.000001688,0,ÿ,
Async Serial,data,0.002510688,0.00001025,,,1
SPI,result,0.002520812,0.000001688,1,ÿ,
Async Serial,data,0.002521562,0.00001025,,,2
SPI,result,0.002531625,0.000001625,2,ÿ,
Async Serial,data,0.002532375,0.00001025,,,3
SPI,result,0.002542375,0.000001688,3,ÿ,
Async Serial,data,0.002543125,0.00001025,,,4
SPI,result,0.002553187,0.000001688,4,ÿ,
Async Serial,data,0.002554,0.00001025,,,5
SPI,result,0.002564125,0.000001625,5,ÿ,
Async Serial,data,0.00256475,0.00001025,,,6
SPI,result,0.002574875,0.000001688,6,ÿ,
Async Serial,data,0.002575562,0.00001025,,,7
SPI,result,0.002585688,0.000001688,7,ÿ,
Async Serial,data,0.002586375,0.00001025,,,8
SPI,result,0.0025965,0.000001625,8,ÿ,
Async Serial,data,0.002597187,0.00001025,,,9
SPI,result,0.00260725,0.000001687,9,ÿ,
Async Serial,data,0.002608,0.00001025,,,1
SPI,result,0.002618187,0.000001688,1,ÿ,
Async Serial,data,0.002618813,0.00001025,,,0
SPI,result,0.002629,0.000001625,0,ÿ,
Async Serial,data,0.002629625,0.00001025,,,1
SPI,result,0.00263975,0.000001688,1,ÿ,
Async Serial,data,0.002640437,0.00001025,,,2
SPI,result,0.002650563,0.000001687,2,ÿ,
Async Serial,data,0.00265125,0.00001025,,,3
